feature,split,information_gain,gain_ratio,gini_reduction
cibil_score,<= 598.000,0.5269408886465278,0.5269409212411025,0.2773095695635558
loan_term,<= 10.000,0.0024822923819279863,0.0024832031202915283,0.0016172832057229636
no_of_dependents,<= 3.000,0.0003545151921998668,0.00038747314192117446,0.00023162928489267598
residential_assets_value,<= 5600000.000,0.0003077994541903495,0.0003078133339720894,0.00020058831438507507
bank_asset_value,<= 4500000.000,0.00013177851088819192,0.00013177851903951328,8.587787065272856e-05
luxury_assets_value,<= 14600000.000,0.00012658976104906738,0.0001265932141949535,8.24987221909601e-05
income_annum,<= 5100000.000,5.3726773693307806e-05,5.373834475072525e-05,3.501534821326313e-05
commercial_assets_value,<= 3700000.000,5.305701061353307e-05,5.305940314450433e-05,3.457790527328086e-05
self_employed,== Yes,4.416435536147567e-05,4.4166652879118034e-05,2.8782513674552312e-05
education,== Graduate,2.5732352780027945e-05,2.5732392570974446e-05,1.6769890074819216e-05
loan_amount,<= 14600000.000,7.425280051709393e-06,7.425523019760245e-06,4.839064703610063e-06
